State/County Count, City Name, List of State/Counties
6,Altamont,KS/Labette MO/Daviess NY/Albany UT/Duchesne IL/Effingham TN/Grundy
6,Altoona,FL/Lake AL/Etowah IA/Polk PA/Blair WI/Eau Claire KS/Wilson
6,Atwood,IL/Piatt TN/Carroll IN/Kosciusko KS/Rawlins CO/Logan OK/Hughes
6,Baker,LA/East Baton Rouge CA/San Bernardino FL/Okaloosa MT/Fallon WV/Hardy NV/White Pine
6,Bancroft,ID/Caribou MI/Shiawassee IA/Kossuth WI/Portage WV/Putnam NE/Cuming
6,Belvidere,NC/Perquimans TN/Franklin NE/Thayer SD/Mellette IL/Boone NJ/Warren
6,Bennington,NE/Douglas VT/Bennington KS/Ottawa IN/Switzerland NH/Hillsborough OK/Bryan
6,Bethany,IL/Moultrie LA/Caddo CT/South Central Connecticut MO/Harrison WV/Brooke OK/Oklahoma
6,Bethlehem,KY/Henry CT/Naugatuck Valley GA/Barrow PA/Lehigh IN/Clark NH/Grafton PA/Northampton
6,Beulah,WY/Crook MS/Bolivar MI/Benzie MO/Phelps CO/Pueblo ND/Mercer
6,Boston,IN/Wayne VA/Culpeper GA/Thomas KY/Nelson NY/Erie MA/Suffolk
6,Bowling Green,VA/Caroline KY/Warren IN/Clay OH/Wood MO/Pike FL/Hardee
6,Buchanan,NY/Westchester VA/Botetourt MI/Berrien TN/Henry ND/Stutsman GA/Haralson
6,Buena Vista,TN/Carroll CO/Chaffee VA/Rockbridge PA/Allegheny NM/Mora GA/Marion
6,Burbank,OH/Wayne CA/Los Angeles SD/Clay IL/Cook WA/Walla Walla OK/Osage
6,Calhoun,IL/Richland MO/Henry TN/McMinn GA/Gordon KY/McLean LA/Ouachita
6,Calvin,KY/Bell WV/Nicholas ND/Cavalier PA/Huntingdon OK/Hughes LA/Winn
6,Canaan,VT/Essex ME/Somerset NH/Grafton NY/Columbia IN/Jefferson CT/Northwest Hills
6,Carlton,GA/Oglethorpe PA/Mercer WA/Okanogan TX/Comanche OR/Yamhill MN/Carlton
6,Cecil,GA/Cook AL/Montgomery WI/Shawano OH/Paulding AR/Franklin PA/Washington
6,Cedar Grove,TN/Carroll IN/Franklin NC/Orange NJ/Essex WI/Sheboygan WV/Kanawha
6,Center,TX/Shelby MO/Ralls NE/Knox ND/Oliver CO/Saguache KY/Metcalfe
6,Cherokee,IA/Cherokee TX/San Saba AL/Colbert OK/Alfalfa NC/Swain KS/Crawford
6,Clyde,OH/Sandusky MO/Nodaway TX/Callahan NY/Wayne NC/Haywood KS/Cloud
6,Coleman,OK/Johnston WI/Marinette GA/Randolph FL/Sumter MI/Midland TX/Coleman
6,Colton,CA/San Bernardino WA/Whitman OH/Henry NY/St. Lawrence OR/Clackamas SD/Minnehaha
6,Corning,KS/Nemaha IA/Adams AR/Clay CA/Tehama OH/Perry NY/Steuben
